""	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"OTU"	"Rho_pH"	"p.value"
"26"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Deltaproteobacteria"	"D_3__Myxococcales"	"D_4__uncultured"	"D_5__uncultured Sorangiineae bacterium"	"D_6__uncultured Sorangiineae bacterium"	"New.ReferenceOTU6042"	-0.792858334524106	0.0189109233587094
"27"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Chloroplast"	"D_3__Psammodictyon panduriforme"	"D_4__Psammodictyon panduriforme"	"D_5__Psammodictyon panduriforme"	"D_6__Psammodictyon panduriforme"	"New.CleanUp.ReferenceOTU151875"	-0.792858334524106	0.0189109233587094
"28"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Chloroplast"	"D_3__Psammodictyon panduriforme"	"D_4__Psammodictyon panduriforme"	"D_5__Psammodictyon panduriforme"	"D_6__Psammodictyon panduriforme"	"New.CleanUp.ReferenceOTU802160"	-0.792858334524106	0.0189109233587094
"29"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Cytophagia"	"D_3__Cytophagales"	"D_4__Flammeovirgaceae"	"D_5__Reichenbachiella"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU1284069"	-0.792858334524106	0.0189109233587094
"30"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Chloroplast"	"D_3__uncultured bacterium"	"D_4__uncultured bacterium"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"HQ672178.1.1432"	-0.79179465488863	0.0191872412939098
"31"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Cyanobacteria"	"D_3__SubsectionI"	"D_4__FamilyI"	"D_5__Prochlorococcus"	"D_6__uncultured bacterium"	"HQ671844.1.1443"	-0.79179465488863	0.0191872412939098
"32"	"D_0__Bacteria"	"D_1__Planctomycetes"	"D_2__BD7-11"	"D_3__uncultured bacterium"	"D_4__uncultured bacterium"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"JX391798.1.1517"	-0.79179465488863	0.0191872412939098
"33"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Alteromonadales"	"D_4__Alteromonadaceae"	"D_5__BD1-7 clade"	"D_6__uncultured bacterium"	"HQ326374.1.1495"	-0.79179465488863	0.0191872412939098
"34"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Cytophagia"	"D_3__Cytophagales"	"D_4__Flammeovirgaceae"	"D_5__Reichenbachiella"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU191890"	-0.79179465488863	0.0191872412939098
"35"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Xanthomonadales"	"D_4__JTB255 marine benthic group"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU815327"	-0.79179465488863	0.0191872412939098
"36"	"D_0__Bacteria"	"D_1__Verrucomicrobia"	"D_2__Verrucomicrobiae"	"D_3__Verrucomicrobiales"	"D_4__Verrucomicrobiaceae"	"D_5__Haloferula"	"D_6__Haloferula chungangensis"	"New.CleanUp.ReferenceOTU1668575"	-0.79179465488863	0.0191872412939098
"37"	"D_0__Bacteria"	"D_1__Planctomycetes"	"D_2__Phycisphaerae"	"D_3__mle1-8"	"D_4__uncultured organism"	"D_5__uncultured organism"	"D_6__uncultured organism"	"New.CleanUp.ReferenceOTU1911242"	-0.79179465488863	0.0191872412939098
"38"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhodospirillales"	"D_4__Rhodospirillaceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU2267572"	-0.79179465488863	0.0191872412939098
"39"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Xanthomonadales"	"D_4__Solimonadaceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU2663668"	-0.79179465488863	0.0191872412939098
"40"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Sphingomonadales"	"D_4__Erythrobacteraceae"	"D_5__Altererythrobacter"	"D_6__Altererythrobacter aestuarii"	"New.CleanUp.ReferenceOTU2807610"	-0.79179465488863	0.0191872412939098
"41"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Alteromonadales"	"D_4__Alteromonadaceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU2888791"	-0.79179465488863	0.0191872412939098
"42"	"D_0__Bacteria"	"D_1__Chlamydiae"	"D_2__Chlamydiae"	"D_3__Chlamydiales"	"D_4__cvE6"	"D_5__Chlamydiales bacterium cvE21"	"D_6__Chlamydiales bacterium cvE21"	"New.CleanUp.ReferenceOTU3016401"	-0.79179465488863	0.0191872412939098
"43"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Thiotrichales"	"D_4__Thiotrichaceae"	"D_5__Thiothrix"	"D_6__uncultured gamma proteobacterium"	"New.CleanUp.ReferenceOTU2787291"	-0.79179465488863	0.0191872412939098
"44"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Flavobacteriaceae"	"D_5__Ulvibacter"	"D_6__uncultured Bacteroidetes bacterium"	"AY274858.1.1218"	-0.790612732727399	0.0194972160718482
"45"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Cryomorphaceae"	"D_5__Owenweeksia"	"D_6__uncultured Flavobacterium sp."	"New.CleanUp.ReferenceOTU2094588"	-0.790612732727399	0.0194972160718482
"46"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Alteromonadales"	"D_4__Alteromonadaceae"	"D_5__Marinobacter"	"D_6__uncultured Marinobacter sp."	"EU328105.1.1488"	-0.785818070650353	0.020786645884803
"47"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Sneathiellales"	"D_4__Sneathiellaceae"	"D_5__Sneathiella"	"D_6__uncultured bacterium"	"JN018511.1.1353"	-0.779483762953957	0.0225697014248841
"48"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Oceanospirillales"	"D_4__Oleiphilaceae"	"D_5__Oleiphilus"	"D_6__uncultured gamma proteobacterium"	"New.CleanUp.ReferenceOTU1195416"	-0.775170232199927	0.023836509913143
"49"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhizobiales"	"D_4__Hyphomicrobiaceae"	"D_5__Maritalea"	"D_6__uncultured alpha proteobacterium"	"JX525357.1.1386"	-0.774596669241483	0.024008196755731
"50"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Alteromonadales"	"D_4__Alteromonadaceae"	"D_5__Spongiibacter"	"D_6__Spongiibacter borealis"	"AF468250.1.1418"	-0.761686724754125	0.0280769407175654
"51"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Sphingobacteriia"	"D_3__Sphingobacteriales"	"D_4__Saprospiraceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"GU451586.1.1248"	-0.760469100629373	0.0284811299170363
"52"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhodobacterales"	"D_4__Rhodobacteraceae"	"D_5__Sulfitobacter"	"D_6__uncultured bacterium"	"JX529692.1.1364"	-0.755928946018454	0.0300197452875445
"53"	"No blast hit"	NA	NA	NA	NA	NA	NA	"New.ReferenceOTU7636"	-0.754983443527075	0.0303464515990455
"54"	"No blast hit"	NA	NA	NA	NA	NA	NA	"New.CleanUp.ReferenceOTU578667"	-0.751778518029705	0.0314700929671036
"55"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Sphingobacteriia"	"D_3__Sphingobacteriales"	"D_4__Saprospiraceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"GU451530.1.1230"	-0.751694781839707	0.0314997875566237
"56"	"D_0__Bacteria"	"D_1__Cyanobacteria"	"D_2__Chloroplast"	"D_3__Aureoumbra lagunensis"	"D_4__Aureoumbra lagunensis"	"D_5__Aureoumbra lagunensis"	"D_6__Aureoumbra lagunensis"	"New.CleanUp.ReferenceOTU918083"	-0.750555349946513	0.0319055638133639
"57"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Cytophagia"	"D_3__Cytophagales"	"D_4__Flammeovirgaceae"	"D_5__uncultured"	"D_6__uncultured Bacteroidetes bacterium"	"New.CleanUp.ReferenceOTU2593998"	-0.750555349946513	0.0319055638133639
"58"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Betaproteobacteria"	"D_3__Methylophilales"	"D_4__Methylophilaceae"	"D_5__Methylotenera"	"D_6__uncultured bacterium"	"FJ612192.1.1499"	-0.730731314484506	0.0394825739186939
"59"	"No blast hit"	NA	NA	NA	NA	NA	NA	"New.ReferenceOTU2258"	-0.720461685761572	0.0438000857796322
"60"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Oceanospirillales"	"D_4__Oleiphilaceae"	"D_5__Oleiphilus"	"D_6__uncultured bacterium"	"FJ905669.1.1400"	-0.720119037778775	0.0439488395037391
"61"	"No blast hit"	NA	NA	NA	NA	NA	NA	"New.CleanUp.ReferenceOTU265362"	-0.71610840309266	0.0457127184659732
"62"	"No blast hit"	NA	NA	NA	NA	NA	NA	"New.CleanUp.ReferenceOTU2689874"	-0.709771160587415	0.0485857349721145
"63"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Cryomorphaceae"	"D_5__Fluviicola"	"D_6__uncultured bacterium"	"EU290391.1.932"	-0.707710151500305	0.0495429154828129
"3141"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Caulobacterales"	"D_4__Hyphomonadaceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"JF272232.1.1422"	0.704713857974726	0.0509545458397035
"3142"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__NS9 marine group"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"New.ReferenceOTU7079"	0.707710151500305	0.0495429154828129
"3143"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Sphingobacteriia"	"D_3__Sphingobacteriales"	"D_4__Saprospiraceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU634512"	0.707710151500305	0.0495429154828129
"3144"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Order Incertae Sedis"	"D_4__Family Incertae Sedis"	"D_5__Marinicella"	"D_6__uncultured gamma proteobacterium"	"New.CleanUp.ReferenceOTU1231382"	0.711425418526866	0.047825578198249
"3145"	"D_0__Bacteria"	"D_1__Planctomycetes"	"D_2__Phycisphaerae"	"D_3__Phycisphaerales"	"D_4__Phycisphaeraceae"	"D_5__SM1A02"	"D_6__uncultured bacterium"	"EU050875.1.1358"	0.714526782707794	0.0464198729092748
"3146"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Order Incertae Sedis"	"D_4__Family Incertae Sedis"	"D_5__Marinicella"	"D_6__uncultured bacterium"	"FJ717241.1.1536"	0.71610840309266	0.0457127184659732
"3147"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Chromatiales"	"D_4__Ectothiorhodospiraceae"	"D_5__Acidiferrobacter"	"D_6__uncultured bacterium"	"FN396767.1.1420"	0.71610840309266	0.0457127184659732
"3148"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Cryomorphaceae"	"D_5__Owenweeksia"	"D_6__uncultured Bacteroidetes bacterium"	"AY678504.1.1376"	0.71610840309266	0.0457127184659732
"3149"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__SPOTSOCT00m83"	"D_3__uncultured proteobacterium"	"D_4__uncultured proteobacterium"	"D_5__uncultured proteobacterium"	"D_6__uncultured proteobacterium"	"JF703353.1.1412"	0.716281621103455	0.0456356693531057
"3150"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Chromatiales"	"D_4__Chromatiaceae"	"D_5__Halochromatium"	"D_6__uncultured gamma proteobacterium"	"AM882535.1.1493"	0.716281621103455	0.0456356693531057
"3151"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhodobacterales"	"D_4__Rhodobacteraceae"	"D_5__Marinosulfonomonas"	"D_6__uncultured bacterium"	"GQ348595.1.1307"	0.718136979079006	0.044815305963661
"3152"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Order Incertae Sedis"	"D_4__Family Incertae Sedis"	"D_5__Marinicella"	"D_6__uncultured bacterium"	"JQ211609.1.1366"	0.719092495506675	0.0443963201251186
"3153"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Flavobacteriaceae"	"D_5__Ornithobacterium"	"D_6__uncultured bacterium"	"EU799427.1.1479"	0.722445645597905	0.0429447819543124
"3154"	"No blast hit"	NA	NA	NA	NA	NA	NA	"New.CleanUp.ReferenceOTU1666728"	0.722445645597905	0.0429447819543124
"3155"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Chromatiales"	"D_4__Ectothiorhodospiraceae"	"D_5__Acidiferrobacter"	"D_6__uncultured gamma proteobacterium"	"JQ579827.1.1494"	0.728782888103149	0.0402808715681461
"3156"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Alteromonadales"	"D_4__Alteromonadaceae"	"D_5__Haliea"	"D_6__uncultured marine bacterium 463"	"GU061215.1.1454"	0.728782888103149	0.0402808715681461
"3157"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rickettsiales"	"D_4__Rickettsiales Incertae Sedis"	"D_5__Candidatus Lariskella"	"D_6__uncultured Rickettsiales bacterium"	"EF667897.1.1461"	0.728782888103149	0.0402808715681461
"3158"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Order Incertae Sedis"	"D_4__Family Incertae Sedis"	"D_5__Marinicella"	"D_6__uncultured bacterium"	"HQ703846.1.1275"	0.728782888103149	0.0402808715681461
"3159"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhodobacterales"	"D_4__Rhodobacteraceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"GU061317.1.1382"	0.733213220022839	0.0384797397806393
"3160"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Flavobacteriaceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"JN662233.1.1483"	0.733333333333333	0.0384316049382716
"3161"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Sphingobacteriia"	"D_3__Sphingobacteriales"	"D_4__Saprospiraceae"	"D_5__Portibacter"	"D_6__uncultured bacterium"	"EU491726.1.1449"	0.733333333333333	0.0384316049382716
"3162"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Caulobacterales"	"D_4__Hyphomonadaceae"	"D_5__Robiginitomaculum"	"D_6__uncultured alpha proteobacterium"	"DQ269080.1.1342"	0.74333013025148	0.0345532121378779
"3163"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Cytophagia"	"D_3__Cytophagales"	"D_4__Flammeovirgaceae"	"D_5__Candidatus Amoebophilus"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU2139378"	0.748776780266767	0.0325453321827942
"3164"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Cytophagia"	"D_3__Order II"	"D_4__Rhodothermaceae"	"D_5__Salinibacter"	"D_6__uncultured Bacteroidetes bacterium"	"New.CleanUp.ReferenceOTU1876473"	0.751778518029705	0.0314700929671035
"3165"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Sphingobacteriia"	"D_3__Sphingobacteriales"	"D_4__NS11-12 marine group"	"D_5__uncultured Bacteroidetes bacterium"	"D_6__uncultured Bacteroidetes bacterium"	"GU451555.1.1208"	0.752340521414739	0.0312712396337597
"3166"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rickettsiales"	"D_4__LWSR-14"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"New.ReferenceOTU1909"	0.752340521414739	0.0312712396337597
"3167"	"D_0__Bacteria"	"D_1__Verrucomicrobia"	"D_2__Verrucomicrobiae"	"D_3__Verrucomicrobiales"	"D_4__Rubritaleaceae"	"D_5__Rubritalea"	"D_6__uncultured bacterium"	"New.ReferenceOTU2570"	0.752340521414739	0.0312712396337597
"3168"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Alteromonadales"	"D_4__Alteromonadaceae"	"D_5__Eionea"	"D_6__Eionea sp. IMCC1962"	"New.ReferenceOTU3413"	0.755928946018454	0.0300197452875444
"3169"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Epsilonproteobacteria"	"D_3__Campylobacterales"	"D_4__Helicobacteraceae"	"D_5__Sulfurovum"	"D_6__uncultured bacterium"	"AJ431223.1.1466"	0.756825863807424	0.0297118344674265
"3170"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__KI89A clade"	"D_4__uncultured bacterium"	"D_5__uncultured bacterium"	"D_6__uncultured bacterium"	"JF272195.1.1495"	0.756825863807424	0.0297118344674265
"3171"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Flavobacteriaceae"	"D_5__Ornithobacterium"	"D_6__uncultured bacterium"	"New.CleanUp.ReferenceOTU1949337"	0.756825863807424	0.0297118344674265
"3172"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__Flavobacteriaceae"	"D_5__uncultured"	"D_6__uncultured bacterium"	"JX854528.1.1443"	0.758315722534312	0.0292046773378997
"3173"	"D_0__Bacteria"	"D_1__Bacteroidetes"	"D_2__Flavobacteriia"	"D_3__Flavobacteriales"	"D_4__NS9 marine group"	"D_5__uncultured epsilon proteobacterium"	"D_6__uncultured epsilon proteobacterium"	"New.CleanUp.ReferenceOTU2114474"	0.76	0.0286377984
"3174"	"D_0__Bacteria"	"D_1__Verrucomicrobia"	"D_2__Verrucomicrobiae"	"D_3__Verrucomicrobiales"	"D_4__Rubritaleaceae"	"D_5__Rubritalea"	"D_6__uncultured bacterium"	"GU145389.1.1490"	0.760469100629373	0.0284811299170363
"3175"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Zetaproteobacteria"	"D_3__Mariprofundales"	"D_4__Mariprofundaceae"	"D_5__Mariprofundus"	"D_6__uncultured delta proteobacterium"	"FJ545556.1.1531"	0.765092055676006	0.0269653905244847
"3176"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Gammaproteobacteria"	"D_3__Alteromonadales"	"D_4__Alteromonadaceae"	"D_5__Halioglobus"	"D_6__uncultured bacterium"	"EU491888.1.1465"	0.768228767097725	0.0259659382830838
"3177"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhodobacterales"	"D_4__Rhodobacteraceae"	"D_5__Sulfitobacter"	"D_6__uncultured alpha proteobacterium"	"AB518944.1.1362"	0.769800358919501	0.0254739283431626
"3178"	"D_0__Bacteria"	"D_1__Proteobacteria"	"D_2__Alphaproteobacteria"	"D_3__Rhodobacterales"	"D_4__Rhodobacteraceae"	"D_5__Candidatus Planktomarina (DC5-80-3 lineage)"	"D_6__uncultured Roseobacter sp."	"JX529905.1.1364"	0.771467822806639	0.0249582557578065
